parts,url
"servo motor, arduino uno, keypad, lcd",https://www.instructables.com/id/fabcache/
"pic18f4550, solenoid, keypad, lcd",https://www.instructables.com/id/automatic-braille-english-text-to-braille-mechanis/
"arduino uno, lcd, lm35, solid state relay control, electrical heating appliance",https://www.instructables.com/id/sous-vide-arduino-shield/
"srf05, pic18f4550, vacuum pump",https://www.instructables.com/id/wearable-assistive-tech-gripper-doraemons-hand/
"servo motor, servo arm, servo wheels, arduino uno",https://www.instructables.com/id/building-a-sentry-gun-with-laser-trip-wire-system-/
"sound source with output jack, 3.5mm audio-in jack, 3.5mm audio-out jack, lm386",https://www.instructables.com/id/laser-audio-transceiver/
"dac0808, sharp gp2y0a02, speaker, chipkit max32",https://www.instructables.com/id/human-piano/
"arduino uno, zigbee shield, zigbee receiver, lcd, solar cell",https://www.instructables.com/id/telemetry-with-solar-cell/
"servo motor, servo arm, servo wheels, arduino uno",https://www.instructables.com/id/face-tracking-gun/
"dc fan, aquarian pump, cpu heatsink",https://www.instructables.com/id/solar-air-conditioning/
"esp8266, ide",https://www.instructables.com/id/breakout-board-for-esp-8266-01-with-cp2102/
"servo motor, motor driver, 24v pancake wheel, arduino mega 2560, srf05, sharp gp2y0a02",https://www.instructables.com/id/bar-robot/
"arduino uno, led",https://www.instructables.com/id/my-4x4x4-led-cube/
"esp8266, dht11, lualoader",https://www.instructables.com/id/grandmas-high-tech-food-cover/
"arduino uno, mma7361l, servo motor, rabbit ears, cap",https://www.instructables.com/id/rabbit-ears-on-a-cap/
"srf05, pic18f4550,  12v dc motor",https://www.instructables.com/id/the-dice-creamaker/
"rf transmitter, rf reciever, fsr sensor, attiny85, cp2012",https://www.instructables.com/id/ah-ma-cushion/
"car wiper motor, arduino uno, motor driver, hc06, hc05",https://www.instructables.com/id/pet-personal-easy-transporter/
"arduino uno,  sigfox arduino shield, ds18b20, aws, dynamodb",https://www.instructables.com/id/sigfox-to-aws/
"arduino uno, um402",https://www.instructables.com/id/get-started-with-um402-lora-433mhz-uart-using-ardu/
"smartphone, evothings viewer, evothings application, esp8266, servo motor",https://www.instructables.com/id/smart-door-opener/
"esp8266, xl1276-d01",https://www.instructables.com/id/get-started-with-xl1276-d01-lora-433mhz-spi-using-/
"sg90 9g, arduino uno, 3d printed parts",https://www.instructables.com/id/3d-printed-quadruped/
